,Title,Type,Genres,Release_year,IMDB_Popularity,IMDB_Score
2390,3 Ninjas Kick Back,MOVIE,"['action', 'comedy', 'family', 'sport']",1994,9.773,4.5
2391,Radhe Shyam,MOVIE,"['romance', 'drama']",2022,9.77,6.9
2392,Raees,MOVIE,"['thriller', 'drama', 'action', 'crime']",2017,9.757,6.7
2393,Flavorful Origins,SHOW,['documentation'],2019,9.752,7.6
2394,Derek,SHOW,"['drama', 'comedy', 'european']",2013,9.748,8.1
2395,Dead Set,SHOW,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']",2008,9.747,7.6
2396,The Plagues of Breslau,MOVIE,"['crime', 'thriller', 'action', 'european']",2018,9.746,5.9
2397,Budapest,MOVIE,"['comedy', 'european']",2018,9.736,5.4
2398,The Parkers,SHOW,['comedy'],1999,9.733,6.8
2399,Father Soldier Son,MOVIE,"['war', 'documentation']",2020,9.731,7.3
2400,Eddie Murphy Raw,MOVIE,"['comedy', 'documentation']",1987,9.727,7.6
2401,The Photographer of Mauthausen,MOVIE,"['thriller', 'drama', 'war', 'history', 'european']",2018,9.724,6.7
2402,Veteran,MOVIE,"['crime', 'thriller', 'action', 'comedy']",2015,9.714,7
2403,Centaurworld,SHOW,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy']",2021,9.714,7.6
2404,Women of the Night,SHOW,"['crime', 'drama']",2019,9.713,6.3
2405,Les de l'hoquei,SHOW,"['sport', 'drama']",2019,9.711,6.8
2406,1898: Our Last Men in the Philippines,MOVIE,"['drama', 'history', 'war', 'european']",2016,9.711,6.5
2407,White Christmas,MOVIE,"['romance', 'comedy', 'music']",1954,9.71,7.5
2408,Time Share,MOVIE,"['drama', 'horror', 'thriller', 'european']",2018,9.709,5.9
2409,Zindagi Na Milegi Dobara,MOVIE,"['comedy', 'drama']",2011,9.707,8.1
2410,The Angel,MOVIE,"['thriller', 'action', 'drama']",2018,9.704,6.6
2411,Santana,MOVIE,"['action', 'drama', 'crime']",2020,9.692,3.9
2412,The Wind,MOVIE,"['western', 'thriller', 'horror']",2019,9.685,5.5
2413,Marco Polo: One Hundred Eyes,MOVIE,"['action', 'history', 'drama']",2015,9.676,7.8
2414,Catch and Release,MOVIE,"['romance', 'comedy', 'drama']",2006,9.67,5.9
2415,Love Beats Rhymes,MOVIE,['drama'],2017,9.665,5.4
2416,Monster Run,MOVIE,"['action', 'fantasy', 'thriller', 'drama', 'scifi']",2020,9.657,5.2
2417,How to Be Really Bad,MOVIE,"['comedy', 'family', 'fantasy', 'romance', 'european']",2018,9.653,6.2
2418,My Sunshine,SHOW,"['drama', 'romance']",2015,9.643,6.6
2419,Om Shanti Om,MOVIE,"['comedy', 'drama', 'fantasy', 'romance', 'thriller', 'action']",2007,9.639,6.7
2420,Signs,SHOW,"['thriller', 'crime', 'european']",2018,9.638,6.4
2421,The Last Blockbuster,MOVIE,['documentation'],2020,9.637,6.7
2422,Frank & Lola,MOVIE,"['drama', 'romance', 'thriller', 'crime']",2016,9.626,5.9
2423,Piercing,MOVIE,"['thriller', 'horror']",2018,9.613,5.5
2424,Black & White,SHOW,"['action', 'comedy', 'sport', 'crime']",2009,9.613,7.6
2425,Aileen Wuornos: American Boogeywoman,MOVIE,"['drama', 'horror', 'thriller']",2021,9.607,3.6
2426,Show Dogs,MOVIE,"['comedy', 'crime', 'family']",2018,9.606,3.9
2427,Ultras,MOVIE,['drama'],2020,9.603,6.2
2428,Patriot Act with Hasan Minhaj,SHOW,['comedy'],2018,9.602,8.2
2429,The Last Czars,SHOW,"['documentation', 'drama', 'history', 'romance', 'war']",2019,9.596,7.3
2430,"What Happened, Miss Simone?",MOVIE,"['music', 'documentation']",2015,9.586,7.6
2431,Once Upon a Time in Lingjian Mountain,SHOW,"['action', 'comedy', 'fantasy', 'romance', 'drama']",2019,9.584,7.5
2432,Hampstead,MOVIE,"['comedy', 'romance', 'drama']",2017,9.569,6
2433,Iris,SHOW,"['action', 'comedy', 'reality', 'romance', 'thriller']",2009,9.565,7.8
2434,Beyond Skyline,MOVIE,"['scifi', 'thriller', 'horror', 'action']",2017,9.565,5.3
2435,Mom,MOVIE,"['crime', 'thriller', 'drama']",2017,9.564,7.2
2436,Uncorked,MOVIE,"['drama', 'comedy']",2020,9.563,6.4
2437,Midnight at the Magnolia,MOVIE,"['comedy', 'romance']",2020,9.562,5.8
2438,The Wedding Guest,MOVIE,['thriller'],2019,9.548,5.8
2439,Wanted,SHOW,"['drama', 'action', 'crime']",2016,9.545,7.6
2440,From Within,MOVIE,"['thriller', 'horror', 'documentation', 'war', 'european']",2008,9.543,5.6
2441,Jailbirds,SHOW,"['reality', 'crime', 'thriller']",2019,9.54,7
2442,Handsome: A Netflix Mystery Movie,MOVIE,"['comedy', 'documentation']",2017,9.533,5.2
2443,Suffragette,MOVIE,"['drama', 'history']",2015,9.53,6.9
2444,100 Meters,MOVIE,"['drama', 'comedy', 'european']",2016,9.529,7.5
2445,The Decline,MOVIE,"['thriller', 'action']",2020,9.525,6
2446,Fear City: New York vs The Mafia,SHOW,"['crime', 'documentation']",2020,9.525,7.1
2447,Divines,MOVIE,"['drama', 'crime', 'european']",2016,9.524,7.4
2448,Lu Over the Wall,MOVIE,"['fantasy', 'animation', 'family', 'music', 'comedy']",2017,9.521,6.8
2449,Go!,MOVIE,"['family', 'sport']",2020,9.517,5.9
2450,48 Christmas Wishes,MOVIE,"['family', 'fantasy', 'comedy']",2017,9.516,3.9
2451,Grand-Daddy Day Care,MOVIE,"['comedy', 'family']",2019,9.509,4.9
2452,Typewriter,SHOW,"['thriller', 'horror', 'drama']",2019,9.507,6.5
2453,Malibu Rescue: The Next Wave,MOVIE,"['comedy', 'family', 'action']",2020,9.507,4.7
2454,Tony Parker: The Final Shot,MOVIE,"['documentation', 'sport']",2021,9.503,6.8
2455,"Sex, Love & Goop",SHOW,"['comedy', 'romance']",2021,9.494,4.8
2456,Dinotrux: Supercharged,SHOW,"['family', 'animation', 'action', 'comedy']",2017,9.489,7.5
2457,Country Comfort,SHOW,"['drama', 'comedy', 'action', 'family', 'music']",2021,9.488,6.9
2458,Half Girlfriend,MOVIE,"['romance', 'drama']",2017,9.482,4.6
2459,Chennai Express,MOVIE,"['romance', 'comedy', 'drama', 'action']",2013,9.481,6.1
2460,The Kindergarten Teacher,MOVIE,"['drama', 'thriller', 'european']",2018,9.481,6.7
2461,The Laws of Thermodynamics,MOVIE,"['romance', 'comedy', 'european']",2018,9.46,6
2462,Soni,MOVIE,"['crime', 'drama']",2019,9.44,7.1
2463,Malibu Rescue,MOVIE,"['action', 'comedy', 'family']",2019,9.434,5
2464,American Son,MOVIE,['drama'],2019,9.419,5.8
2465,In the Shadow of Iris,MOVIE,"['thriller', 'drama', 'crime', 'european']",2016,9.415,6.1
2466,The 3rd Eye,MOVIE,"['horror', 'thriller', 'animation', 'drama', 'fantasy', 'european']",2017,9.413,5.1
2467,Inspector Gadget,SHOW,"['action', 'comedy', 'family', 'scifi', 'animation']",2015,9.398,4.5
2468,By the Sea,MOVIE,"['drama', 'european', 'romance']",2015,9.388,5.3
2469,Honey Girls,MOVIE,"['family', 'music', 'comedy']",2021,9.388,5
2470,Autumn's Concerto,SHOW,"['drama', 'romance']",2009,9.386,7.9
2471,The Holiday Calendar,MOVIE,"['romance', 'comedy', 'drama', 'fantasy']",2018,9.382,5.7
2472,The Black Godfather,MOVIE,"['documentation', 'music']",2019,9.366,7.4
2473,The Dreamseller,MOVIE,['drama'],2016,9.354,6
2474,Eye for an Eye,MOVIE,"['thriller', 'european']",2019,9.353,
2475,Fantastic Fungi,MOVIE,['documentation'],2019,9.346,7.4
2476,Just Between Lovers,SHOW,"['drama', 'romance']",2017,9.343,8.2
2477,Just Another Christmas,MOVIE,"['comedy', 'family', 'drama']",2020,9.339,6.7
2478,Nailed It!,SHOW,"['reality', 'comedy']",2018,9.333,7.4
2479,"Roxanne, Roxanne",MOVIE,"['drama', 'music']",2017,9.326,6.2
2480,Dil Chahta Hai,MOVIE,"['drama', 'comedy', 'romance']",2001,9.318,8.1
2481,Pickpockets,MOVIE,"['drama', 'thriller', 'crime']",2018,9.318,5.4
2482,Nail Bomber: Manhunt,MOVIE,"['crime', 'documentation', 'history']",2021,9.316,6.3
2483,Gormiti,SHOW,"['comedy', 'action', 'animation', 'fantasy', 'thriller']",2018,9.315,5.3
2484,Victim Number 8,SHOW,"['drama', 'crime', 'fantasy', 'action', 'thriller']",2018,9.315,7
2485,Take the 10,MOVIE,['comedy'],2017,9.312,4.7
2486,Barfi!,MOVIE,"['drama', 'comedy', 'romance']",2012,9.311,8.1
2487,Talaash,MOVIE,"['thriller', 'crime', 'fantasy', 'drama']",2012,9.306,7.3
2488,Hitler: A Career,MOVIE,"['documentation', 'history', 'european']",1977,9.305,7.5
2489,Effie Gray,MOVIE,"['drama', 'romance']",2014,9.304,6
2490,Close Enemies,MOVIE,"['drama', 'thriller', 'european']",2018,9.299,6.4
2491,Like Father,MOVIE,"['comedy', 'drama']",2018,9.294,6.1
2492,Circus of Books,MOVIE,"['documentation', 'history']",2019,9.292,7.1
2493,Welcome,MOVIE,"['romance', 'crime', 'comedy']",2007,9.285,6.9
2494,Inborn Pair,SHOW,"['drama', 'comedy']",2011,9.281,7.1
2495,Convergence: Courage in a Crisis,MOVIE,['documentation'],2021,9.258,5.4
2496,Seaspiracy,MOVIE,['documentation'],2021,9.255,8.1
2497,A World Without,MOVIE,"['thriller', 'scifi', 'drama']",2021,9.253,3.7
2498,Northern Rescue,SHOW,"['drama', 'family']",2019,9.248,7.1
2499,Get on Up,MOVIE,"['drama', 'music']",2014,9.246,6.9
2500,Escalona,SHOW,['drama'],1991,9.244,
2501,Medical Police,SHOW,['comedy'],2020,9.216,5.9
2502,Cleaner,MOVIE,"['thriller', 'crime']",2007,9.202,6.1
2503,Dear Ex,MOVIE,"['drama', 'comedy', 'romance']",2018,9.199,7.3
2504,Dolly Parton's Heartstrings,SHOW,"['drama', 'comedy', 'music']",2019,9.184,7.6
2505,Jaane Tu... Ya Jaane Na,MOVIE,"['drama', 'comedy', 'romance']",2008,9.183,7.4
2506,Dave Chappelle: The Closer,MOVIE,['comedy'],2021,9.182,8
2507,Company of Heroes,MOVIE,['drama'],2013,9.176,
2508,Mighty Express,SHOW,[],2020,9.174,
2509,The Show Must Go On: The Queen + Adam Lambert Story,MOVIE,"['documentation', 'music']",2019,9.166,7.8
2510,Spotless,SHOW,"['drama', 'comedy', 'crime', 'european']",2015,9.159,7.7
2511,A California Christmas,MOVIE,"['romance', 'comedy', 'drama']",2020,9.156,5.8
2512,Glow Up: Britain's Next Make-Up Star,SHOW,['reality'],2019,9.155,6.8
2513,Queen,MOVIE,"['drama', 'comedy']",2014,9.152,8.2
2514,The Hater,MOVIE,"['drama', 'european']",2020,9.14,
2515,LEGO Friends: The Power of Friendship,SHOW,['animation'],2016,9.137,6.5
2516,Japan Sinks: 2020,SHOW,"['action', 'scifi', 'animation', 'drama']",2020,9.134,6.4
2517,7:19,MOVIE,"['thriller', 'drama', 'history']",2016,9.125,5.9
2518,Really Love,MOVIE,"['drama', 'romance']",2020,9.122,6
2519,"Liar, Liar, Vampire",MOVIE,"['comedy', 'family']",2015,9.114,5.8
2520,The Guest,SHOW,"['crime', 'thriller', 'drama', 'horror', 'comedy']",2018,9.102,8.1
2521,Kapoor & Sons,MOVIE,"['romance', 'comedy', 'drama', 'family']",2016,9.091,7.7
2522,Ankahi Kahaniya,MOVIE,"['drama', 'romance']",2021,9.082,5.5
2523,The Coldest Game,MOVIE,"['drama', 'history', 'sport', 'thriller', 'european']",2019,9.08,6.2
2524,50M2,SHOW,"['comedy', 'drama', 'thriller', 'crime']",2021,9.07,6.9
2525,Mine,SHOW,['drama'],2021,9.07,7.8
2526,StarBeam,SHOW,[],2020,9.066,
2527,Rock my Heart,MOVIE,"['drama', 'european']",2017,9.065,6.5
2528,Under the Shadow,MOVIE,"['thriller', 'horror', 'war', 'drama', 'fantasy']",2016,9.063,6.8
2529,Calibre,MOVIE,"['thriller', 'horror', 'drama']",2018,9.063,6.8
2530,Fierce,MOVIE,"['comedy', 'music']",2020,9.062,
2531,Pad Man,MOVIE,"['comedy', 'drama']",2018,9.062,7.9
2532,One of Us,MOVIE,['documentation'],2017,9.06,7
2533,The Land of Steady Habits,MOVIE,"['drama', 'comedy']",2018,9.06,6.2
2534,LA Originals,MOVIE,['documentation'],2020,9.054,7.2
2535,Rabbids Invasion - Mission To Mars,MOVIE,['animation'],2021,9.051,7.8
2536,Ricky Gervais: Humanity,MOVIE,['comedy'],2018,9.049,7.9
2537,Connected,MOVIE,[],2021,9.048,
2538,Chalte Chalte,MOVIE,"['comedy', 'drama', 'romance']",2003,9.044,6.5
2539,On the Verge,SHOW,"['comedy', 'drama']",2021,9.044,6.5
2540,The Stand In,MOVIE,"['comedy', 'drama']",2020,9.035,4.7
2541,Mosul,MOVIE,['drama'],2019,9.023,
2542,Immigration Nation,SHOW,['documentation'],2020,9.017,7.4
2543,The Woods,SHOW,['drama'],2020,9.011,
2544,Mission Kathmandu: The Adventures of Nelly & Simon,MOVIE,"['animation', 'comedy']",2017,9.009,5.1
2545,Murder to Mercy - The Cyntoia Brown Story,MOVIE,['documentation'],2020,9.003,6.3
2546,In Family I Trust,MOVIE,"['comedy', 'romance', 'european']",2019,9.002,6.2
2547,Voyeur,MOVIE,"['documentation', 'crime', 'drama']",2017,8.997,6.2
2548,The Railway Man,MOVIE,"['drama', 'european', 'war', 'romance']",2013,8.993,7.1
2549,Break,MOVIE,"['drama', 'comedy', 'european']",2018,8.98,5.8
2550,The World Is Yours,MOVIE,"['crime', 'comedy', 'european']",2018,8.945,6.3
2551,The Big Wedding,MOVIE,"['comedy', 'drama', 'romance']",2013,8.928,5.6
2552,The Casketeers,SHOW,"['reality', 'documentation']",2018,8.926,7.5
2553,Rhyme Time Town,SHOW,"['animation', 'comedy', 'family']",2020,8.925,7.5
2554,Catfight,MOVIE,"['comedy', 'drama', 'action']",2017,8.919,5.9
2555,Today We Fix the World,MOVIE,"['drama', 'comedy']",2022,8.918,6.2
2556,Deidra & Laney Rob a Train,MOVIE,"['drama', 'comedy', 'crime']",2017,8.911,6
2557,Sanju,MOVIE,"['drama', 'comedy']",2018,8.906,7.7
2558,Car Masters: Rust to Riches,SHOW,['reality'],2018,8.898,8.4
2559,Dabbe: The Possession,MOVIE,['horror'],2013,8.898,6.8
2560,The Life Ahead,MOVIE,"['drama', 'european']",2020,8.893,6.8
2561,"Coronavirus, Explained",SHOW,['documentation'],2020,8.891,7.6
2562,The Lost Pirate Kingdom,SHOW,"['documentation', 'drama', 'history']",2021,8.884,6.6
2563,Solo el amor,MOVIE,"['romance', 'drama', 'music', 'comedy']",2018,8.878,4.7
2564,Who Would You Take to a Deserted Island?,MOVIE,"['drama', 'european']",2019,8.876,5.3
2565,Tiny House Nation,SHOW,['reality'],2014,8.872,7.1
2566,Champions,SHOW,['comedy'],2018,8.869,6.1
2567,Drifting Dragons,SHOW,"['action', 'scifi', 'animation', 'fantasy']",2020,8.863,6
2568,Jailbreak,MOVIE,"['action', 'comedy']",2017,8.859,5.4
2569,Life Overtakes Me,MOVIE,['documentation'],2019,8.855,5
2570,Almost Happy,SHOW,['comedy'],2020,8.845,6.8
2571,Dear Mother,MOVIE,"['comedy', 'drama']",2020,8.844,5.8
2572,Familiar Wife,SHOW,"['scifi', 'drama', 'fantasy', 'romance']",2018,8.82,7.6
2573,Audrie & Daisy,MOVIE,"['documentation', 'crime']",2016,8.819,7.2
2574,Love Jacked,MOVIE,"['comedy', 'romance']",2018,8.818,5.9
2575,Ludo,MOVIE,"['crime', 'action', 'comedy', 'drama']",2020,8.817,7.6
2576,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,MOVIE,"['comedy', 'crime', 'european']",2016,8.814,6.3
2577,The Long Riders,MOVIE,"['western', 'crime']",1980,8.808,6.9
2578,Little Things,SHOW,"['comedy', 'drama', 'romance']",2016,8.807,8.2
2579,Paquita Salas,SHOW,"['comedy', 'european']",2016,8.8,8
2580,Did You Hear About the Morgans?,MOVIE,"['comedy', 'romance', 'drama']",2009,8.795,4.9
2581,"Hello, Me!",SHOW,"['scifi', 'comedy', 'fantasy', 'romance']",2021,8.788,7.3
2582,A Christmas Prince: The Royal Wedding,MOVIE,"['romance', 'drama']",2018,8.776,5.3
2583,Signal,SHOW,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']",2016,8.776,8.6
2584,High Flying Bird,MOVIE,"['drama', 'sport']",2019,8.774,6.2
2585,Bibi & Tina: Perfect Pandemonium,MOVIE,"['fantasy', 'drama', 'family', 'comedy', 'european']",2017,8.763,4
2586,Rang De Basanti,MOVIE,"['comedy', 'drama', 'history', 'crime']",2006,8.761,8.1
2587,The Get Down,SHOW,"['drama', 'music']",2016,8.755,8.2
2588,Cuba and the Cameraman,MOVIE,['documentation'],2017,8.738,8.3
2589,The Summit of the Gods,MOVIE,"['animation', 'thriller', 'history', 'drama', 'sport']",2021,8.735,7.5
